CO_PROCEDIMENTO,NO_PROCEDIMENTO
0405010125,RECONSTITUIÇÃO PARCIAL DE PALPEBRA COM TARSORRAFIA
0405010133,RECONSTITUIÇÃO TOTAL DE PALPEBRA
0405010141,SIMBLEFAROPLASTIA
0405010150,SONDAGEM DE CANAL LACRIMAL SOB ANESTESIA GERAL
0405010168,SONDAGEM DE VIAS LACRIMAIS
0405010176,SUTURA DE PALPEBRAS
0405010184,TRATAMENTO CIRURGICO DE BLEFAROCALASE
0405010192,TRATAMENTO CIRURGICO DE TRIQUIASE C/ OU S/ ENXERTO
0405010206,PUNCTOPLASTIA
0405020015,CORREÇÃO CIRÚRGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS)
0405020023,CORREÇÃO CIRÚRGICA DO ESTRABISMO (ATE 2 MUSCULOS)
0405030010,APLICAÇÃO DE PLACA RADIOATIVA EPISCLERAL
0405030029,BIOPSIA DE TUMOR INTRA OCULAR
0405030037,CRIOTERAPIA OCULAR
0405030045,FOTOCOAGULAÇÃO A LASER
0405030053,INJECAO INTRA-VITREO
0405030070,RETINOPEXIA COM INTROFLEXÃO ESCLERAL
0405030096,SUTURA DE ESCLERA
0405030100,TRATAMENTO CIRURGICO DE DEISCENCIA DE SUTURA DE ESCLERA
0405030118,TRATAMENTO CIRURGICO DE MIIASE PALPEBRAL
0405030126,TRATAMENTO CIRURGICO DE NEOPLASIA DE ESCLERA
0405030134,VITRECTOMIA ANTERIOR
0405030142,VITRECTOMIA POSTERIOR
0405030150,VITRIOLISE A YAG LASER
0405030169,VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO E ENDOLASER
0405030177,VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER
0405030185,TERMOTERAPIA TRANSPUPILAR
0405030193,PAN-FOTOCOAGULAÇÃO DE RETINA A LASER
0405030207,DRENAGEM DE HEMORRAGIA DE CORÓIDE
0405030215,RETINOPEXIA PNEUMÁTICA
0405030223,REMOÇÃO DE ÓLEO DE SILICONE
0405030231,REMOÇÃO DE IMPLANTE EPISCLERAL
0405040016,CORREÇÃO CIRURGICA DE LAGOFTALMO
0405040024,CRIOTERAPIA DE TUMORES INTRA-OCULARES
0405040040,DESCOMPRESSÃO DE NERVO ÓPTICO
0405040059,DESCOMPRESSÃO DE ORBITA
0405040067,ENUCLEAÇÃO DE GLOBO OCULAR
0405040075,EVISCERAÇÃO DE GLOBO OCULAR
0405040083,EXENTERAÇÃO DE ORBITA
0405040091,EXÉRESE DE TUMOR MALIGNO INTRA-OCULAR
0405040105,EXPLANTE DE LENTE INTRA OCULAR
0405040130,INJECAO RETROBULBAR / PERIBULBAR
0405040148,ORBITOTOMIA
0405040156,RECONSTITUIÇÃO DE CAVIDADE ORBITÁRIA
0405040164,RECONSTITUIÇÃO DE PAREDE DA ORBITA
0405040180,TRANSPLANTE DE PERIOSTEO EM ESCLEROMALACIA
0405040199,TRATAMENTO CIRURGICO DE XANTELASMA
0405040202,TRATAMENTO DE PTOSE PALPEBRAL
0405040210,REPOSICIONAMENTO DE LENTE INTRAOCULAR
0405050011,CAPSULECTOMIA POSTERIOR CIRURGICA
0405050020,CAPSULOTOMIA A YAG LASER
0405050038,CAUTERIZACAO DE CORNEA
0405050046,CICLOCRIOCOAGULAÇÃO / DIATERMIA
0405050054,CICLODIALISE
0405050062,CORRECAO DE ASTIGMATISMO SECUNDARIO
0405050070,CORRECAO CIRURGICA DE HERNIA DE IRIS
0405050089,EXERESE DE TUMOR DE CONJUNTIVA
0405050097,FACECTOMIA COM IMPLANTE DE LENTE INTRA-OCULAR
0405050100,FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR
0405050119,FACOEMULSIFICAÇÃO COM IMPLANTE DE LENTE INTRA-OCULAR RIGIDA
0405050127,FOTOTRABECULOPLASTIA A LASER
0405050135,IMPLANTE DE PRÓTESE ANTI-GLAUCOMATOSA
0405050143,IMPLANTE INTRA-ESTROMAL
0405050151,IMPLANTE SECUNDÁRIO DE LENTE INTRA-OCULAR - LIO
0405050160,INJECAO SUBCONJUTIVAL / SUBTENONIANA
0405050178,IRIDECTOMIA CIRURGICA
0405050186,IRIDOCICLECTOMIA
0405050194,IRIDOTOMIA A LASER
0405050208,PARACENTESE DE CAMARA ANTERIOR
0405050216,RECOBRIMENTO CONJUNTIVAL
0405050224,RECONSTITUIÇÃO DE FORNIX CONJUNTIVAL
0405050232,RECONSTRUÇÃO DE CAMARA ANTERIOR DO OLHO
0405050240,RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR DO OLHO
0405050259,RETIRADA DE CORPO ESTRANHO DA CORNEA
0405050267,SINEQUIOLISE A YAG LASER
0405050283,SUBSTITUICAO DE LENTE INTRA-OCULAR
0405050291,SUTURA DE CONJUNTIVA
0405050305,SUTURA DE CORNEA
0405050313,TOPOPLASTIA DO TRANSPLANTE
0405050321,TRABECULECTOMIA
0405050356,TRATAMENTO CIRÚRGICO DE GLAUCOMA CONGENITO
0405050364,TRATAMENTO CIRURGICO DE PTERIGIO
0405050372,FACOEMULSIFICAÇÃO COM IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL
0405050380,CIRURGIA DE CATARATA CONGÊNITA
0405050399,TRATAMENTO CIRÚRGICO DE DEISCÊNCIA DE SUTURA DE CÓRNEA
0405050402,RADIAÇÃO PARA CROSS LINKING CORNEANO
0406010013,ABERTURA DE COMUNICAÇÃO INTER-ATRIAL
0406010021,ABERTURA DE ESTENOSE AORTICA VALVAR
0406010030,ABERTURA DE ESTENOSE PULMONAR VALVAR
0406010048,AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRICULO DIREITO E/OU RAMOS PULMONARES
0406010056,AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO ESQUERDO
0406010064,ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL
0406010072,ANASTOMOSE CAVO-PULMONAR TOTAL
0406010080,ANASTOMOSE SISTEMICO-PULMONAR
0406010099,BANDAGEM DA ARTÉRIA PULMONAR
0406010102,CARDIORRAFIA
0406010110,CARDIOTOMIA PARA RETIRADA DE CORPO ESTRANHO
0406010129,COLOCAÇÃO DE BALÃO INTRA-AÓRTICO
0406010137,CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL
0406010153,CORREÇÃO DE ATRESIA PULMONAR E COMUNICAÇÃO INTERVENTRICULAR
0406010161,CORREÇÃO DE ÁTRIO ÚNICO
0406010170,CORREÇÃO DE BANDA ANÔMALA DO VENTRÍCULO DIREITO
0406010188,CORREÇÃO DE COARCTAÇÃO DA AORTA
0406010196,CORREÇÃO DE COMUNICAÇÃO INTERVENTRICULAR
0406010200,CORREÇÃO DE COMUNICAÇÃO INTER-VENTRICULAR E INSUFICIÊNCIA AORTICA
0406010218,CORREÇÃO DE COR TRIATRIATUM
0406010226,CORREÇÃO DE CORONÁRIA ANÔMALA (CRIANÇA E ADOLESCENTE)
0406010234,CORREÇÃO DE DRENAGEM ANÔMALA DO RETORNO SISTÊMICO
0406010242,CORREÇÃO DE DRENAGEM ANÔMALA PARCIAL DE VEIAS PULMONARES
0406010250,CORREÇÃO DE DRENAGEM ANÔMALA TOTAL DE VEIAS PULMONARES
0406010269,CORREÇÃO DE DUPLA VIA DE SAÍDA DO VENTRÍCULO DIREITO
0406010277,CORREÇÃO DE DUPLA VIA DE SAÍDA DO VENTRÍCULO ESQUERDO
0406010285,CORREÇÃO DE ESTENOSE AÓRTICA (0 A 3 ANOS)
0406010293,CORREÇÃO DE ESTENOSE MITRAL CONGÊNITA
0406010307,CORREÇÃO DE ESTENOSE SUPRA-AÓRTICA
0406010315,CORREÇÃO DE FÍSTULA AÓRTO-CAVITARIAS
0406010323,CORREÇÃO DE HIPERTROFIA SEPTAL ASSIMETRICA
0406010331,CORREÇÃO DE HIPOPLASIA DE VENTRÍCULO ESQUERDO
0406010340,CORREÇÃO DE INSUFICIÊNCIA DA VÁLVULA TRICÚSPIDE
0406010358,CORREÇÃO DE INSUFICIÊNCIA MITRAL CONGÊNITA
0406010366,CORREÇÃO DE INTERRUPÇÃO DO ARCO AÓRTICO
0406010374,CORREÇÃO DE JANELA AORTO-PULMONAR (CRIANÇA E ADOLESCENTE)
0406010382,CORREÇÃO DE JANELA AORTO-PULMONAR
0406010390,CORREÇÃO DE LESÕES NA TRANSPOSIÇÃO CORRIGIDA DOS VASOS DA BASE
0406010404,CORREÇÃO DE PERSISTÊNCIA DO CANAL ARTERIAL
0406010412,CORREÇÃO DE PERSISTÊNCIA DO CANAL ARTERIAL NO RÉCEM-NASCIDO
0406010420,CORREÇÃO DE TETRALOGIA DE FALLOT E VARIANTES (CRIANÇA E ADOLESCENTE)
0406010439,CORREÇÃO DE TETRALOGIA DE FALLOT E VARIANTES
0406010447,CORREÇÃO DE TRANSPOSIÇÃO DOS GRANDES VASOS DA BASE (CRIANÇA E ADOLESCENTE)
0406010455,CORREÇÃO DE TRANSPOSIÇÃO DE GRANDES VASOS DA BASE
0406010463,CORREÇÃO DE TRONCO ARTERIOSO PERSISTENTE
0406010471,CORREÇÃO DE VENTRÍCULO ÚNICO
0406010480,CORREÇÃO DO CANAL ÁTRIO-VENTRICULAR (PARCIAL / INTERMEDIÁRIO)
0406010498,CORREÇÃO DO CANAL ÁTRIO-VENTRICULAR (TOTAL)
0406010501,CORREÇÕES DE ANOMALIAS DO ARCO AÓRTICO
0406010510,DRENAGEM C/ BIOPSIA DE PERICÁRDIO
0406010528,EXÉRESE DE CISTO PERICÁRDICO
0406010536,FECHAMENTO DE COMUNICAÇÃO INTERATRIAL
0406010544,FECHAMENTO DE COMUNICAÇÃO INTERVENTRICULAR
0406010552,MPLANTE COM TROCA DE POSIÇÃO DE VALVAS (CIRURGIA DE ROSS)
0406010560,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÂMARA ÚNICA TRANSVENOSO
0406010579,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO EPIMIOCÁRDICO POR TORACOTOMIA P/ IMPLANTE DE ELETRODO
0406010587,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÃMARA DUPLA TRANSVENOSO
0406010595,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR MULTI-SÍTIO ENDOCAVITÁRIO C/ REVERSÃO PARA EPIMIOCÁRDICO POR TORACOTOMIA
0406010609,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO
0406010617,IMPLANTE DE MARCAPASSO CARDÍACO MULTI-SITIO ENDOCAVITÁRIO C/ REVERSÃO P/ EPIMIOCÁRDICO (POR TORACOTOMIA)
0406010625,IMPLANTE DE MARCAPASSO CARDÍACO MULTI-SITIO EPIMIOCÁRDICO POR TORACOTOMIA P/IMPLANTE DE ELETRODO
0406010633,IMPLANTE DE MARCAPASSO CARDÍACO MULTI-SITIO TRANSVENOSO
0406010641,IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA EPIMIOCÁRDICO
0406010650,IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA TRANSVENOSO
0406010668,IMPLANTE DE MARCAPASSO DE CÂMARA ÚNICA EPIMIOCÁRDICO
0406010676,IMPLANTE DE MARCAPASSO DE CÂMARA ÚNICA TRANSVENOSO
0406010684,IMPLANTE DE MARCAPASSO TEMPORÁRIO TRANSVENOSO
0406010692,IMPLANTE DE PRÓTESE VALVAR
0406010706,INFARTECTOMIA / ANEURISMECTOMIA ASSOCIADA OU NÃO A REVASCULARIZAÇÃO MIOCÁRDICA
0406010714,INSTALAÇÃO DE ASSISTÊNCIA CIRCULATÓRIA
0406010722,INSTALAÇÃO DE CATETER DE TERMODILUIÇÃO
0406010730,LIGADURA DE FÍSTULA SISTÊMICO-PULMONAR
0406010749,MANUTENÇÃO DE ASSISTÊNCIA CIRCULATÓRIA
0406010757,PERICARDIECTOMIA
0406010765,PERICARDIECTOMIA PARCIAL
0406010773,PERICARDIOCENTESE
0406010781,PLÁSTICA / TROCA DE VÁLVULA TRICÚSPIDE (ANOMALIA DE EBSTEIN)
0406010790,PLÁSTICA DE LOJA DE GERADOR DE SISTEMA DE ESTIMULAÇÃO CARDÍACA ARTIFICIAL
0406010803,PLÁSTICA VALVAR
0406010811,PLÁSTICA VALVAR COM REVASCULARIZAÇÃO MIOCÁRDICA
0406010820,PLÁSTICA VALVAR E/OU TROCA VALVAR MÚLTIPLA
0406010838,RECONSTRUÇÃO DA RAIZ DA AORTA
0406010846,RECONSTRUÇÃO DA RAIZ DA AORTA C/ TUBO VALVADO
0406010854,REPOSICIONAMENTO DE ELETRODOS DE CARDIOVERSOR DESFIBRILADOR
0406010862,REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO
0406010870,REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO MULTI-SITIO
0406010889,RESSECÇÃO DE ENDOMIOCARDIOFIBROSE
0406010897,RESSECÇÃO DE MEMBRANA SUB-AÓRTICA
0406010900,RESSECÇÃO DE TUMOR INTRACARDÍACO
0406010919,RETIRADA DE SISTEMA DE ESTIMULAÇÃO CARDÍACA ARTIFICIAL
0406010927,REVASCULARIZAÇÃO MIOCÁRDICA COM USO DE EXTRACÓRPOREA
0406010935,REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS)
0406010943,REVASCULARIZAÇÃO MIOCÁRDICA S/ USO DE EXTRACORPÓREA
0406010951,REVASCULARIZAÇÃO MIOCÁRDICA S/ USO DE EXTRACORPÓREA (C/ 2 OU MAIS ENXERTOS)
0406010960,TRATAMENTO DE CONTUSÃO MIOCÁRDICA
0406010978,TRATAMENTO DE FERIMENTO CARDÍACO PERFURO-CORTANTE
0406010986,TROCA DE AORTA ASCENDENTE
0406010994,TROCA DE ARCO AÓRTICO
0406011001,TROCA DE CONJUNTO DO SEIO CORONÁRIO NO MARCAPASSO MULTI-SITIO
0406011010,TROCA DE ELETRODOS DE DESFIBRILADOR DE CARDIO-DESFIBRILADOR TRANSVENOSO
0406011028,TROCA DE ELETRODOS DE DESFIBRILADOR NO CARDIO-DESFIBRILADOR MULTI-SITIO
0406011036,TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA
0406011044,TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA ÚNICA
0406011052,TROCA DE ELETRODOS DE MARCAPASSO EM CARDIO-DESFIBRILADOR DE CAMARA DUPLA TRANSVENOSO
0406011079,TROCA DE ELETRODOS DE MARCAPASSO NO CARDIO-DESFIBRILADOR MULTI-SITIO
0406011087,TROCA DE ELETRODOS DE MARCAPASSO NO MARCAPASSO MULTI-SITIO
0406011095,TROCA DE ELETRODOS DE SEIO CORONÁRIO NO CARDIOVERSOR DESFIBRILADOR MULTI-SITIO
0406011109,TROCA DE GERADOR DE CARDIO-DESFIBRILADOR DE CÂMARA ÚNICA / DUPLA
0406011117,TROCA DE GERADOR DE CARDIO-DESFIBRILADOR MULTI-SITIO
0406011125,TROCA DE GERADOR DE MARCAPASSO DE CÂMARA DUPLA
0406011133,TROCA DE GERADOR DE MARCAPASSO DE CÂMARA ÚNICA
0406011141,TROCA DE GERADOR DE MARCAPASSO MULTI-SITIO
0406011150,TROCA DE GERADOR E DE ELETRODO DE MARCAPASSO DE CÂMARA ÚNICA
0406011168,TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR
0406011176,TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR MULTISITIO
0406011184,TROCA DE GERADOR E DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA
0406011192,TROCA DE GERADOR E DE ELETRODOS NO MARCAPASSO MULTI-SITIO
0406011206,TROCA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA
0406011214,UNIFOCALIZAÇÃO DE RAMOS DA ARTÉRIA PULMONAR C/ CIRCULAÇÃO EXTRACORPÓREA
0406011222,UNIFOCALIZAÇÃO DE RAMOS DA ARTÉRIA PULMONAR S/ CIRCULAÇÃO EXTRACORPÓREA
0406011230,ANASTOMOSE SISTEMICO PULMONAR COM CEC
0406011249,CORRECAO DE COARCTACAO DA AORTA COM CEC
0406011257,CORREÇÃO DE CORONARIA ANOMALA (19 A 110)
0406011265,ABERTURA DE ESTENOSE AORTICA VALVAR (CRIANÇA E ADOLESCENTE)
0406011273,ABERTURA DE ESTENOSE PULMONAR VALVAR (CRIANÇA E ADOLESCENTE)
0406011281,AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO DIREITO E/OU RAMOS PULMONARES (CRIANÇA E ADOLESCENTE)
0406011290,AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO ESQUERDO (CRIANÇA E ADOLESCENTE)
0406011303,ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL (CRIANÇA E ADOLESCENTE)
0406011311,ANASTOMOSE SISTEMICO-PULMONAR (CRIANÇA E ADOLESCENTE)
0406011320,BANDAGEM DA ARTERIA PULMONAR (CRIANÇA E ADOLESCENTE)
0406011338,CORRECAO DE COARCTACAO DA AORTA (CRIANÇA E ADOLESCENTE)
0406011346,CORRECAO DE DRENAGEM ANOMALA DO RETORNO SISTEMICO (CRIANÇA E ADOLESCENTE)
0406011354,CORREÇÃO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES (CRIANÇA E ADOLESCENTE)
0406011362,CORRECAO DE ESTENOSE MITRAL CONGENITA (CRIANÇA E ADOLESCENTE)
0406011370,CORREÇÃO DE ESTENOSE SUPRA-AÓRTICA (CRIANÇA E ADOLESCENTE)
0406011389,CORRECAO DE FISTULA AORTO-CAVITARIAS (CRIANÇA E ADOLESCENTE)
0406011397,CORREÇÃO DE HIPERTROFIA SEPTAL ASSIMETRICA (CRIANÇA E ADOLESCENTE)
0406011400,CORRECAO DE INSUFICIENCIA DA VALVULA TRICUSPIDE (CRIANÇA E ADOLESCENTE)
0406011419,CORRECAO DE INSUFICIENCIA MITRAL CONGENITA (CRIANÇA E ADOLESCENTE)
0406011427,CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANÇA E ADOLESCENTE)
0406011435,CORRECAO DO CANAL ATRIO-VENTRICULAR PARCIAL / INTERMEDIARIO (CRIANÇA E ADOLESCENTE)
0406011443,CORRECOES DE ANOMALIAS DO ARCO AORTICO (CRIANÇA E ADOLESCENTE)
0406011451,FECHAMENTO DE COMUNICACAO INTERATRIAL (CRIANÇA E ADOLESCENTE)
0406011460,FECHAMENTO DE COMUNICACAO INTERVENTRICULAR (CRIANÇA E ADOLESCENTE)
0406011478,IMPLANTE C/ TROCA DE POSICAO DE VALVAS (CIRURGIA DE ROSS) (CRIANÇA E ADOLESCENTE)
0406011486,LIGADURA DE FISTULA SISTEMICO-PULMONAR (CRIANÇA E ADOLESCENTE)
0406011494,RESSECCAO DE MEMBRANA SUB-AORTICA (CRIANÇA E ADOLESCENTE)
0406011508,ANASTOMOSE SISTEMICO PULMONAR COM CEC (CRIANÇA E ADOLESCENTE)
0406011516,CORRECAO DE COARCTACAO DA AORTA COM CEC (CRIANÇA E ADOLESCENTE)
0406020019,ANASTOMOSE ESPLENO-RENAL / OUTRA DERIVAÇÃO CENTRAL
0406020027,ANASTOMOSE LINFOVENOSA
0406020035,ANASTOMOSE PORTO-CAVA
0406020043,ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL
0406020051,ANEURISMECTOMIA TORACO-ABDOMINAL
0406020078,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)
0406020086,CONFECÇÃO DE FÍSTULA ARTERIOVENOSA P/ ACESSO
0406020094,DISSECÇÃO DE VEIA / ARTÉRIA
0406020108,DISSECCAO RADICAL DO PESCOÇO
0406020116,DRENAGEM DE GANGLIO LINFATICO
0406020124,EMBOLECTOMIA ARTERIAL
0406020132,EXCISAO E SUTURA DE HEMANGIOMA
0406020140,EXCISAO E SUTURA DE LINFANGIOMA / NEVUS
0406020159,EXERESE DE GANGLIO LINFÁTICO
0406020167,FASCIOTOMIA P/ DESCOMPRESSÃO
0406020183,LINFADENECTOMIA MEDIASTINAL
0406020191,LINFADENECTOMIA PÉLVICA
0406020205,LINFADENECTOMIA PROFUNDA
0406020213,LINFADENECTOMIA RADICAL AXILAR BILATERAL
0406020221,LINFADENECTOMIA RADICAL AXILAR UNILATERAL
0406020230,LINFADENECTOMIA RADICAL CERVICAL BILATERAL
0406020248,LINFADENECTOMIA RADICAL CERVICAL UNILATERAL
0406020256,LINFADENECTOMIA RADICAL INGUINAL BILATERAL
0406020264,LINFADENECTOMIA RADICAL INGUINAL UNILATERAL
0406020272,LINFADENECTOMIA RADICAL VULVAR
0406020280,LINFADENECTOMIA RETROPERITONIAL
0406020299,LINFADENECTOMIA SUPERFICIAL
0406020302,PLASTIA ARTERIAL COM REMENDO (QUALQUER TÉCNICA)
0406020310,PONTE AXILO-BIFEMURAL
0406020329,PONTE AXILO-FEMURAL
0406020337,PONTE DE RAMOS DOS TRONCOS SUPRA-AORTICOS
0406020345,PONTE FEMORO-FEMURAL CRUZADA
0406020353,PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL
0406020361,PONTE-TROMBOENDARTERECTOMIA AORTO-ILÍACA
0406020370,PONTE-TROMBOENDARTERECTOMIA DE CARÓTIDA
0406020388,PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL
0406020396,RETIRADA DE PROTESE INFECTADA EM POSICAO AORTO- ABDOMINAL C/ PONTE AXILO FEMURAL/AXILO BIFEMURAL CRUZADO
0406020400,RETIRADA DE PRÓTESE INFECTADA EM POSIÇÃO NÃO AÓRTICA
0406020418,REVASCULARIZAÇÃO DE ARTÉRIAS VISCERAIS
0406020426,REVASCULARIZAÇÃO DO MEMBRO SUPERIOR
0406020434,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA DE OUTRAS ARTERIAS DISTAIS
0406020442,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL
0406020450,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA PROXIMAL
0406020469,TRANSPLANTE DE SEGMENTO VENOSO VALVULADO
0406020477,TRANSPOSIÇÃO DE VEIAS DO SISTEMA VENOSO PROFUNDO
0406020485,TRATAMENTO CIRURGICO DE ANEURISMAS DAS ARTERIAS VISCERAIS
0406020493,TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DA REGIAO CERVICAL
0406020507,TRATAMENTO CIRÚRGICO DE LESÕES VASCULARES TRAUMÁTICAS DE MEMBRO INFERIOR BILATERAL
0406020515,TRATAMENTO CIRÚRGICO DE LESÕES VASCULARES TRAUMÁTICAS DE MEMBRO INFERIOR UNILATERAL
0406020523,TRATAMENTO CIRÚRGICO DE LESÕES VASCULARES TRAUMÁTICAS DE MEMBRO SUPERIOR BILATERAL
0406020531,TRATAMENTO CIRÚRGICO DE LESÕES VASCULARES TRAUMÁTICAS DE MEMBRO SUPERIOR UNILATERAL
0406020540,TRATAMENTO CIRÚRGICO DE LESÕES VASCULARES TRAUMÁTICAS DO ABDÔMEN
0406020558,TRATAMENTO CIRURGICO DE LINFEDEMA
0406020566,TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)
0406020574,TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)
0406020582,TROCA DE AORTA DESCENDENTE (INCLUI ABDOMINAL)
0406020590,TROMBECTOMIA DO SISTEMA VENOSO
0406020604,VALVULOPLASTIAS DO SISTEMA VENOSO PROFUNDO
0406020612,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO ESPECIAL)
0406020620,RETIRADA DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTÁVEL
0406030014,ANGIOPLASTIA CORONARIANA
0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
0406030030,ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
0406030049,ANGIOPLASTIA CORONARIANA PRIMÁRIA
0406030057,ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS
0406030065,ANGIOPLASTIA EM ENXERTO CORONARIANO
0406030073,ANGIOPLASTIA EM ENXERTO CORONARIANO (COM IMPLANTE DE STENT)
0406030081,ATRIOSEPTOSTOMIA COM CATETER BALÃO
0406030090,FECHAMENTO PERCUTÂNEO DO CANAL ARTERIAL / FISTULAS ARTERIOVENOSAS COM LIBERAÇÃO DE COILS
0406030103,RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TÉCNICAS HEMODINÂMICAS
0406030111,VALVULOPLASTIA AÓRTICA PERCUTÂNEA
0406030120,VALVULOPLASTIA MITRAL PERCUTÂNEA
0406030138,VALVULOPLASTIA PULMONAR PERCUTÂNEA
0406030146,VALVULOPLASTIA TRICUSPIDE PERCUTANEA
0406030154,FECHAMENTO PERCUTÂNEO DE COMUNICAÇÃO INTERATRIAL SEPTAL.
0406030162,"IMPLANTE PERCUTÂNEO DE VÁLVULA AÓRTICA (TAVI), POR VIA TRANSFEMORAL"
0406040010,ALCOOLIZAÇÃO PERCUTÂNEA DE HEMANGIOMA E MALFORMAÇÃO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)
0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
0406040060,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO)
0406040079,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO)
0406040087,ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (SEM STENT)
0406040095,ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO OU TRONCOS SUPRA-AÓRTICOS (COM STENT NÃO RECOBERTO)
0406040109,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO
0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
0406040125,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS
0406040133,ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO)
0406040141,COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFÉRICA E EMBOLIA PULMONAR)
0406040150,CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DA AORTA ABDOMINAL COM ENDOPRÓTESE RETA / CÔNICA
0406040168,CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DA AORTA ABDOMINAL E ILÍACAS COM ENDOPRÓTESE BIFURCADA
0406040176,CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DA AORTA TORÁCICA COM ENDOPRÓTESE RETA OU CÔNICA
